msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Grants Announcements status,,,/app/public/modules/custom/grants_announcements/grants_announcements.install:75,,,
,Grants Announcements value: @value,,,/app/public/modules/custom/grants_announcements/grants_announcements.install:76,,,
,Grants Announcements,,,/app/public/modules/custom/grants_announcements/grants_announcements.info.yml:0 /app/public/modules/custom/grants_announcements/grants_announcements.links.menu.yml:0 /app/public/modules/custom/grants_announcements/src/Plugin/Block/AnnoucementListBlock.php:7,,,
,"Module for handling various parts of the grants announcements, such as listing etc.",,,/app/public/modules/custom/grants_announcements/grants_announcements.info.yml:0,,,
,Hel.fi Grants,,,/app/public/modules/custom/grants_announcements/grants_announcements.info.yml:0,,,
,Configure Grants Announcements.,,,/app/public/modules/custom/grants_announcements/grants_announcements.links.menu.yml:0,,,
,Administer grants_announcements configuration,,,/app/public/modules/custom/grants_announcements/grants_announcements.permissions.yml:0,,,
,Optional description.,,,/app/public/modules/custom/grants_announcements/grants_announcements.permissions.yml:0,,,
,Example,,,/app/public/modules/custom/grants_announcements/grants_announcements.routing.yml:0 /app/public/modules/custom/grants_announcements/src/Form/SettingsForm.php:33,,,
,Grants Announcements settings,,,/app/public/modules/custom/grants_announcements/grants_announcements.routing.yml:0,,,
,It works!,,,/app/public/modules/custom/grants_announcements/src/Controller/GrantsAnnouncementsController.php:19 /app/public/modules/custom/grants_announcements/src/Plugin/Block/AnnoucementListBlock.php:23,,,
,The value is not correct.,,,/app/public/modules/custom/grants_announcements/src/Form/SettingsForm.php:44,,,
,Grants Annoucements Listing Block,,,/app/public/modules/custom/grants_announcements/src/Plugin/Block/AnnoucementListBlock.php:7,,,
,Delete attachment,,,/app/public/modules/custom/grants_attachments/grants_attachments.module:85 /app/public/modules/custom/grants_attachments/grants_attachments.routing.yml:0,,,
,grants_attachments status,,,/app/public/modules/custom/grants_attachments/grants_attachments.install:88,,,
,grants_attachments value: @value,,,/app/public/modules/custom/grants_attachments/grants_attachments.install:89,,,
,grants_attachments,,,/app/public/modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Module to handle attachments webform components,,,/app/public/modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Hel.fi,,,/app/public/modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Administer grants_attachments configuration,,,/app/public/modules/custom/grants_attachments/grants_attachments.permissions.yml:0,,,
,Optional description.,,,/app/public/modules/custom/grants_attachments/grants_attachments.permissions.yml:0,,,
,@fieldname field is required,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:209,,,
,"@fieldname has file added, it cannot be added later.",,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:218,,,
,"@fieldname has file added, it cannot belong to other file.",,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:223,,,
,"@fieldname has no file uploaded, it must be either delivered later or be included in other file.",,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:232,,,
,Bank account confirmation file attachment failed.,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:498,,,
,Confirmation for account @accountNumber,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:502;538,,,
,Attachment (@filename) uploaded,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:726,,,
,Attachment (@filename) upload failed with message: @msg. Event has been logged.,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:735,,,
,Error: %msg,,,/app/public/modules/custom/grants_attachments/src/AttachmentHandler.php:360;494,,,
,Removed file entity & db log row: @filename,,,/app/public/modules/custom/grants_attachments/src/AttachmentRemover.php:151,,,
,"Upload failed, files are saved for retry.",,,/app/public/modules/custom/grants_attachments/src/AttachmentRemover.php:172,,,
,"Upload failed, removal failed, adding db row failed: @filename",,,/app/public/modules/custom/grants_attachments/src/AttachmentRemover.php:176,,,
,Error purging leftover attachments,,,/app/public/modules/custom/grants_attachments/src/AttachmentRemover.php:239,,,
,Grants attachment(@filename) upload succeeded: Response statusCode = @status,,,/app/public/modules/custom/grants_attachments/src/AttachmentUploader.php:199,,,
,Removed db log row: @filename,,,/app/public/modules/custom/grants_attachments/src/AttachmentUploader.php:210,,,
,Grants attachment upload failed: Response statusCode = @status,,,/app/public/modules/custom/grants_attachments/src/AttachmentUploader.php:222,,,
,Grants attachment upload failed: @error,,,/app/public/modules/custom/grants_attachments/src/AttachmentUploader.php:232;247,,,
,Document file attachment deleted.,,,/app/public/modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:117,,,
,Application updated.,,,/app/public/modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:150,,,
,Document attachment not found. IntegrationID: %inteId,,,/app/public/modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:162,,,
,Attachment,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:168,,,
,Attachment description,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:188,,,
,Attachment will delivered at later time,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:192,,,
,Attachment already delivered,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:197,,,
,You cannot send file and have it delivered later,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:388,,,
,You cannot send file and have it in another file,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:424,,,
,Error: @error,,,/app/public/modules/custom/grants_attachments/src/Element/GrantsAttachments.php:317;323,,,
,Attachment filetype,,,/app/public/modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:109,,,
,Grants attachments,,,/app/public/modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
,Provides a grants attachment element.,,,/app/public/modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
,Hel.fi elements,,,/app/public/modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
,About,,,/app/public/modules/custom/grants_formnavigation/grants_formnavigation.module:21,,,
,Allows users to navigate forwards and backwards through multi-page webforms using the wizard progress bar.,,,/app/public/modules/custom/grants_formnavigation/grants_formnavigation.module:22,,,
,Grants Webform Navigation,,,/app/public/modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0 /app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:11,,,
,Creates a navigation setting for webform that allows users to navigate forwards and backwards through wizard pages when the wizard navigation progress bar is enabled.,,,/app/public/modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0,,,
,Webform,,,/app/public/modules/custom/grants_formnavigation/grants_formnavigation.info.yml:0,,,
,Webform Navigation settings,,,/app/public/modules/custom/grants_formnavigation/config/schema/grants_formnavigation.schema.yml:0,,,
,Forward Navigation,,,/app/public/modules/custom/grants_formnavigation/config/schema/grants_formnavigation.schema.yml:0,,,
,Development settings,,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:68,,,
,Enable debugging,,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:72,,,
,"If checked, every handler method invoked will be displayed onscreen to all users.",,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:73,,,
,Invoked @id: @class_name:@method_name @context1,,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:196,,,
,Helfi,,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:11,,,
,A webform submission handler for the webformnavigation module.,,,/app/public/modules/custom/grants_formnavigation/src/Plugin/WebformHandler/GrantsFormNavigationHandler.php:11,,,
,You need a description of the community purpose for the application.,,,/app/public/modules/custom/grants_handler/grants_handler.module:513,,,
,Add description of purpose,,,/app/public/modules/custom/grants_handler/grants_handler.module:513,,,
