msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,simple,,,,,,,
,Home,,,,,,,
,Main navigation,,,,,,,
,Site section links,,,,,,,
,Fallback date format,,,,,,,
,HTML Date,,,,,,,
,HTML Datetime,,,,,,,
,HTML Month,,,,,,,
,HTML Time,,,,,,,
,HTML Week,,,,,,,
,HTML Year,,,,,,,
,HTML Yearless date,,,,,,,
,Default long date,,,,,,,
PHP date format,"l, F j, Y - H:i",,,,,,,
,Default medium date,,,,,,,
PHP date format,"D, m/d/Y - H:i",,,,,,,
,Default short date,,,,,,,
PHP date format,m/d/Y - H:i,,,,,,,
,Anonymous user,,,,,,,
,Authenticated user,,,,,,,
,<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>,,,,,,,
,Accept,,,,,,,
,More info,,,,,,,
,Hide,,,,,,,
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>",,,,,,,
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>",,,,,,,
,<front>,,,,,,,
,"No, thanks",,,,,,,
,<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>,,,,,,,
,Withdraw consent,,,,,,,
,Privacy settings,,,,,,,
,Save preferences,,,,,,,
,Accept all cookies,,,,,,,
,Delete redirect,,,,,,,
,Swedish,,,,,,,
,Russian,,,,,,,
,Finnish,,,,,,,
,Upper content region,,,,,,,
,Content region,,,,,,,
,Focal point,,,,,,,
,Crop type used by Focal point module.,,,,,,,
,Media library,,,,,,,
,Redirect,,,,,,,
,List of redirects,,,,,,,
,Master,,,,,,,
,Filter,,,,,,,
,Reset,,,,,,,
,Sort by,,,,,,,
,Asc,,,,,,,
,Desc,,,,,,,
,‹ previous,,,,,,,
,next ›,,,,,,,
,« first,,,,,,,
,last »,,,,,,,
,Items per page,,,,,,,
,- All -,,,,,,,
,Offset,,,,,,,
,With selection,,,,,,,
,From,,,,,,,
,", ",,,,,,,
,Created,,,,,,,
,To,,,,,,,
,Status code,,,,,,,
,300 Multiple Choices,,,,,,,
,301 Moved Permanently,,,,,,,
,302 Found,,,,,,,
,303 See Other,,,,,,,
,304 Not Modified,,,,,,,
,305 Use Proxy,,,,,,,
,307 Temporary Redirect,,,,,,,
,Original language,,,,,,,
,There is no redirect yet.,,,,,,,
,Page,,,,,,,
,Keywords,,,,,,,
,Text,,,,,,,
,Image,,,,,,,
,Image with a caption,,,,,,,
,Columns,,,,,,,
,"With columns paragraph content producer can divide content in to two columns. The columns can be equal width or divided in to 30/70 proportion. 
The content producer can choose what paragraphs to add into the columns.",,,,,,,
,Basic page,,,,,,,
,Content type for pages that include information that doesn't age as quickly as for example article or news content.,,,,,,,
,Article,,,,,,,
,Content type for article-like content with rich editing capabilities.,,,,,,,
,User,,,,,,,
,[user:url],,,,,,,
,[site:name],,,,,,,
,"[user:display-name] | [site:name]",,,,,,,
,Remote video,,,,,,,
,Media type for remote media from external sources.,,,,,,,
,Use local image for reusable media.,,,,,,,
,File,,,,,,,
,Media type file for general files such as documents and charts.,,,,,,,
,Plain text,,,,,,,
,White,,,,,,,
,Grey,,,,,,,
,Link,,,,,,,
