msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,simple,,,,,,yksinkertainen,
,Home,,,,,,Etusivu,
,Main navigation,,,,,,Päävalikko,
,Site section links,,,,,,Sivuston osioiden linkit,
,Fallback date format,,,,,,Vara-arvo päivämäärämuodolle,
,HTML Date,,,,,,HTML Päivämäärä,
,HTML Datetime,,,,,,HTML Päivämäärä ja aika,
,HTML Month,,,,,,HTML Kuukausi,
,HTML Time,,,,,,HTML Aika,
,HTML Week,,,,,,HTML Viikko,
,HTML Year,,,,,,HTML Vuosi,
,HTML Yearless date,,,,,,HTML Päivämäärä (ei vuotta),
,Default long date,,,,,,Päivämäärä pitkässä muodossa,
PHP date format,"l, F j, Y - H:i",,,,,,j.n.Y - H:i,
,Default medium date,,,,,,Päivämäärä keskipitkässä muodossa,
PHP date format,"D, m/d/Y - H:i",,,,,,j. F\t\a Y,
,Default short date,,,,,,Päivämäärä lyhyessä muodossa,
PHP date format,m/d/Y - H:i,,,,,,j.n.Y - H:i,
,Anonymous user,,,,,,Anonyymi käyttäjä,
,Authenticated user,,,,,,Sisäänkirjautunut käyttäjä,
,<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>,,,,,,"<h2>Thank you for accepting cookies</h2>

<p>You can now hide this message or find out more about cookies.</p>
",
,Accept,,,,,,Hyväksy,
,More info,,,,,,Näytä evästeet,
,Hide,,,,,,Piilossa,
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>",,,,,,"<h2>Hel.fi käyttää evästeitä</h2><p>Tämä sivusto käyttää välttämättömiä evästeitä suorituskyvyn varmistamiseksi sekä yleisen käytön seurantaan. Lisäksi käytämme kohdennusevästeitä käyttäjäkokemuksen parantamiseksi, analytiikkaan ja kohdistetun sisällön näyttämiseen.</p>
",
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>",,,,,,,
,<front>,,,,,,/node/1,
,"No, thanks",,,,,,Ei kiitos,
,<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>,,,,,,"<h2>Hel.fi uses cookies</h2>

<p>You have given your consent for us to set cookies.</p>
",
,Withdraw consent,,,,,,,
,Privacy settings,,,,,,Tietosuoja-asetukset,
,Save preferences,,,,,,Hyväksy valitut evästeet,
,Accept all cookies,,,,,,Hyväksy kaikki evästeet,
,Delete redirect,,,,,,Poista uudelleenohjaus,
,Swedish,,,,,,Ruotsi,
,Russian,,,,,,Venäjä,
,Finnish,,,,,,Suomi,
,Upper content region,,,,,,Upper content region,
,Content region,,,,,,Content,
,Focal point,,,,,,Keskipiste,
,Crop type used by Focal point module.,,,,,,,
,Media library,,,,,,Mediakirjasto,
,Redirect,,,,,,Redirect,
,List of redirects,,,,,,List of redirects,
,Master,,,,,,Isäntä,
,Filter,,,,,,Suodata,
,Reset,,,,,,Palauta,
,Sort by,,,,,,Lajittele,
,Asc,,,,,,Asc,
,Desc,,,,,,Desc,
,‹ previous,,,,,,‹ edellinen,
,next ›,,,,,,seuraava ›,
,« first,,,,,,« ensimmäinen,
,last »,,,,,,viimeinen »,
,Items per page,,,,,,Merkintöjä sivua kohti,
,- All -,,,,,,- Kaikki -,
,Offset,,,,,,Offset,
,With selection,,,,,,Valinnalla,
,From,,,,,,Lähettäjä,
,", ",,,,,,", ",
,Created,,,,,,Luotu,
,To,,,,,,Osoitteeseen,
,Status code,,,,,,Status code,
,300 Multiple Choices,,,,,,300 Useita valintoja,
,301 Moved Permanently,,,,,,301 Pysyvästi siirretty,
,302 Found,,,,,,302 Löydetty,
,303 See Other,,,,,,303 Kts. toinen,
,304 Not Modified,,,,,,304 Muuttamaton,
,305 Use Proxy,,,,,,305 Käytä proxyä,
,307 Temporary Redirect,,,,,,307 Tilapäinen uudelleenohjaus,
,Original language,,,,,,Alkuperäinen kieli,
,There is no redirect yet.,,,,,,There is no redirect yet.,
,Page,,,,,,Sivu,
,Keywords,,,,,,Asiasanat,
,Text,,,,,,Teksti,
,Image,,,,,,Kuva,
,Image with a caption,,,,,,Kuva kuvatekstillä,
,Columns,,,,,,Palstat,
,"With columns paragraph content producer can divide content in to two columns. The columns can be equal width or divided in to 30/70 proportion. 
The content producer can choose what paragraphs to add into the columns.",,,,,,"Palstat paragraafilla sisällöntuottaja voi sijoittaa sisältöä kahteen palstaan. Palstajaot voivat olla 50/50 tai 30/70 | 70/30 levyisiä. Paragraafin palstoihin voi vapaasti liittää erilaisia komponentteja.",
,Basic page,,,,,,Perussivu,
,Content type for pages that include information that doesn't age as quickly as for example article or news content.,,,,,,Content type for pages that include information that doesn't age as quickly as for example article or news content.,
,Article,,,,,,Artikkeli,
,Content type for article-like content with rich editing capabilities.,,,,,,Content type for article-like content with rich editing capabilities.,
,User,,,,,,Käyttäjä,
,[user:url],,,,,,,
,[site:name],,,,,,,
,"[user:display-name] | [site:name]",,,,,,"[user:display-name] | [site:page-title-suffix]",
,Remote video,,,,,,Video ulkoisesta palvelusta,
,Media type for remote media from external sources.,,,,,,"Mediatyyppi ulkoisten palveluiden, kuten YouTube tarjoamille videoille.",
,Use local image for reusable media.,,,,,,Mediatyyppi kuville.,
,File,,,,,,Tiedosto,
,Media type file for general files such as documents and charts.,,,,,,Media tyyppi yleisille tiedostoille kuten tekstidokumenteille ja kaavioille.,
,Plain text,,,,,,Puhdas teksti,
,White,,,,,,Valkoinen,
,Grey,,,,,,Harmaa,
,Link,,,,,,Linkki,
