msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Delete attachment,,,modules/custom/grants_attachments/grants_attachments.module:74 modules/custom/grants_attachments/grants_attachments.routing.yml:0,,,
,grants_attachments status,,,modules/custom/grants_attachments/grants_attachments.install:87,,,
,grants_attachments value: @value,,,modules/custom/grants_attachments/grants_attachments.install:88,,,
,grants_attachments,,,modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Module to handle attachments webform components,,,modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Hel.fi,,,modules/custom/grants_attachments/grants_attachments.info.yml:0,,,
,Administer grants_attachments configuration,,,modules/custom/grants_attachments/grants_attachments.permissions.yml:0,,,
,Optional description.,,,modules/custom/grants_attachments/grants_attachments.permissions.yml:0,,,
,@fieldname field is required,,,modules/custom/grants_attachments/src/AttachmentHandler.php:204,,,
,"@fieldname has file added, it cannot be added later.",,,modules/custom/grants_attachments/src/AttachmentHandler.php:213,,,
,"@fieldname has file added, it cannot belong to other file.",,,modules/custom/grants_attachments/src/AttachmentHandler.php:218,,,
,"@fieldname has no file uploaded, it must be either delivered later or be included in other file.",,,modules/custom/grants_attachments/src/AttachmentHandler.php:227,,,
,Bank account confirmation file attachment failed.,,,modules/custom/grants_attachments/src/AttachmentHandler.php:439,,,
,Confirmation for account @accountNumber,,,modules/custom/grants_attachments/src/AttachmentHandler.php:443;477,,,
,Attachment (@filename) uploaded,,,modules/custom/grants_attachments/src/AttachmentHandler.php:610,,,
,Attachment (@filename) upload failed with message: @msg. Event has been logged.,,,modules/custom/grants_attachments/src/AttachmentHandler.php:619,,,
,Error: %msg,,,modules/custom/grants_attachments/src/AttachmentHandler.php:318;435 modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:165,,,
,Removed file entity & db log row: @filename,,,modules/custom/grants_attachments/src/AttachmentRemover.php:151,,,
,"Upload failed, files are saved for retry.",,,modules/custom/grants_attachments/src/AttachmentRemover.php:172,,,
,"Upload failed, removal failed, adding db row failed: @filename",,,modules/custom/grants_attachments/src/AttachmentRemover.php:176,,,
,Error purging leftover attachments,,,modules/custom/grants_attachments/src/AttachmentRemover.php:215,,,
,Grants attachment(@filename) upload succeeded: Response statusCode = @status,,,modules/custom/grants_attachments/src/AttachmentUploader.php:199,,,
,Removed db log row: @filename,,,modules/custom/grants_attachments/src/AttachmentUploader.php:210,,,
,Grants attachment upload failed: Response statusCode = @status,,,modules/custom/grants_attachments/src/AttachmentUploader.php:222,,,
,Grants attachment upload failed: @error,,,modules/custom/grants_attachments/src/AttachmentUploader.php:232;247,,,
,Document file attachment deleted.,,,modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:116,,,
,Application updated.,,,modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:154,,,
,Document attachment not found. IntegrationID: %inteId,,,modules/custom/grants_attachments/src/Controller/GrantsAttachmentsController.php:123,,,
,Attachment,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:163,,,
,Attachment description,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:183,,,
,Attachment will delivered at later time,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:187,,,
,Attachment already delivered,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:192,,,
,You cannot send file and have it delivered later,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:236,,,
,You cannot send file and have it in another file,,,modules/custom/grants_attachments/src/Element/GrantsAttachments.php:266,,,
,Attachment filetype,,,modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:109,,,
,Grants attachments,,,modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
,Provides a grants attachment element.,,,modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
,Hel.fi elements,,,modules/custom/grants_attachments/src/Plugin/WebformElement/GrantsAttachments.php:11,,,
