msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Edit,,,grants_handler.module:408,,,
,Avustushakemukselle tarvitaan kuvaus yhdistyksen toiminnasta.,,,grants_handler.module:491,,,
,Lisää toiminnan kuvaus,,,grants_handler.module:491,,,
,"Oma asiointi > Omat tiedot -osioon, jotta sitä voidaan käyttää tällä hakemuksella.",,,grants_handler.module:492,,,
,Some information fetched from personal information,,,grants_handler.module:506,,,
,Check the information on the form before sending the application. You can change your own information from personal information section of the site.,,,grants_handler.module:509,,,
,"Fields marked with an asterisk * are required, that need to be filled before saving.",,,grants_handler.module:523,,,
,"You don't have company selected, no fields are prepopulated",,,grants_handler.module:566,,,
,I have read the terms and accept them,,,grants_handler.module:585,,,
,%status: %date,,,grants_handler.module:697,,,
,Hakemuksen tila,,,grants_handler.module:704,,,
,Date,,,grants_handler.module:737,,,
,Source,,,grants_handler.module:738,,,
,Description,,,grants_handler.module:739,,,
,No events has been found.,,,grants_handler.module:742,,,
,Application attachments,,,grants_handler.module:930,,,
,View application %icon,,,grants_handler.module:995,,,
,Edit application %icon,,,grants_handler.module:998,,,
,%status,,,grants_handler.module:1028,,,
,My Applications,,,grants_handler.module:1052,,,
,View Application,,,grants_handler.module:1055,,,
,Mark read,,,grants_handler.module:1089,,,
,Print application,,,grants_handler.module:1131 templates/application-list-item.html.twig:20,,,
,Edit application,,,grants_handler.module:1147,,,
,Copy application,,,grants_handler.module:1162 grants_handler.routing.yml:0 src/Form/CopyApplicationForm.php:105,,,
,Application status not in valid statuses: %number,,,grants_handler.module:1006,,,
,Application status not in valid statuses: %appno,,,grants_handler.module:1033,,,
,Grants Handler,,,grants_handler.info.yml:0 src/Plugin/WebformHandler/GrantsHandler.php:28 config/install/webform.webform.grants_handler.yml:0,,,
,Grant applications webform handler module.,,,grants_handler.info.yml:0,,,
,helfi,,,grants_handler.info.yml:0 src/Plugin/WebformHandler/GrantsHandler.php:28,,,
,Clear navigations,,,grants_handler.routing.yml:0,,,
,Mark message read,,,grants_handler.routing.yml:0,,,
,Example,,,config/schema/grants_handler.schema.yml:0 config/install/webform.webform.grants_handler.yml:0,,,
,Message,,,config/schema/grants_handler.schema.yml:0;0 src/Form/MessageForm.php:96,,,
,Enable debugging,,,config/schema/grants_handler.schema.yml:0 src/Plugin/WebformHandler/GrantsHandler.php:245,,,
,Status strings,,,config/schema/grants_handler.schema.yml:0,,,
,Delete draft,,,js/webform-additions.js:0,,,
,@label: @msg,,,src/ApplicationHandler.php:731,,,
,"Application saving failed, error has been logged.",,,src/ApplicationHandler.php:842,,,
,DEBUG: Endpoint: %endpoint,,,src/ApplicationHandler.php:788,,,
,DEBUG: Sent JSON: %myJSON,,,src/ApplicationHandler.php:794,,,
,"Data sent to integration, response status: @status",,,src/ApplicationHandler.php:830,,,
,Error saving application: %msg,,,src/ApplicationHandler.php:843,,,
,No submissiondata when trying to validate saveid: @saveid,,,src/ApplicationHandler.php:1162,,,
,"Event ID: %eventId, JSON:  %json",,,src/EventsService.php:156,,,
,"Event logged: %eventId, message sent.",,,src/EventsService.php:167,,,
,Deleting of store data failed. Submission serial @serial. @error,,,src/GrantsHandlerNavigationHelper.php:256,,,
,Document %appno not found when loading WebformSubmission: %submission. Error: %msg,,,src/GrantsHandlerSubmissionStorage.php:135,,,
,New message for @applicationNumber.,,,src/MessageService.php:180,,,
,"MSG id: %msgId, JSON: %json",,,src/MessageService.php:168,,,
,"MSG id: %nextId, message sent. Event logged: %eventId",,,src/MessageService.php:186,,,
,%error,,,src/MessageService.php:191,,,
,Application @number not found.,,,src/Controller/ApplicationController.php:274,,,
,Submission not found,,,src/Controller/CompletionController.php:31,,,
,Completion page for @submissionId,,,src/Controller/CompletionController.php:41,,,
,Message marked as read,,,src/Controller/MessageController.php:127;130,,,
,Message marking as read failed.,,,src/Controller/MessageController.php:137,,,
,Message already read.,,,src/Controller/MessageController.php:141,,,
,Error: %error,,,src/Controller/MessageController.php:134 src/Controller/WebformNavigationController.php:70 src/Plugin/WebformHandler/GrantsHandler.php:1112,,,
,Only DRAFT status submissions are deletable,,,src/Controller/WebformNavigationController.php:38,,,
,"Deleting draft failed. Error has been logged, please contact support.",,,src/Controller/WebformNavigationController.php:69,,,
,Bank account,,,src/Element/BankAccountComposite.php:41,,,
,Select account,,,src/Element/BankAccountComposite.php:72,,,
,Select address,,,src/Element/CommunityAddressComposite.php:41;97,,,
,Street address,,,src/Element/CommunityAddressComposite.php:48,,,
,Post code,,,src/Element/CommunityAddressComposite.php:52,,,
,City,,,src/Element/CommunityAddressComposite.php:56,,,
,Country,,,src/Element/CommunityAddressComposite.php:60,,,
,Select official,,,src/Element/CommunityOfficialsComposite.php:42;98,,,
,Name,,,src/Element/CommunityOfficialsComposite.php:54,,,
,Role,,,src/Element/CommunityOfficialsComposite.php:58,,,
,Email,,,src/Element/CommunityOfficialsComposite.php:62,,,
,Phone,,,src/Element/CommunityOfficialsComposite.php:66,,,
,Subvention name,,,src/Element/CompensationsComposite.php:36,,,
,Subvention type,,,src/Element/CompensationsComposite.php:41,,,
,Subvention amount,,,src/Element/CompensationsComposite.php:46,,,
,"Grant application copied(<span id=""saved-application-number"">@number</span>)",,,src/Form/CopyApplicationForm.php:145,,,
,Attachment,,,src/Form/MessageForm.php:102,,,
,Add attachment to your message,,,src/Form/MessageForm.php:111,,,
,Attachment description,,,src/Form/MessageForm.php:115,,,
,Send,,,src/Form/MessageForm.php:124,,,
,webformSubmission not found!,,,src/Form/MessageForm.php:155,,,
,Attachment (@filename) uploaded,,,src/Form/MessageForm.php:200,,,
,Attachment (@filename) upload failed with message: @msg. Event has been logged.,,,src/Form/MessageForm.php:209,,,
,Your message has been sent. Please note that it will take some time it appears on application.,,,src/Form/MessageForm.php:230,,,
,Your message: @message,,,src/Form/MessageForm.php:232,,,
,Sending of your message failed.,,,src/Form/MessageForm.php:236,,,
,Community bank account,,,src/Plugin/WebformElement/BankAccountComposite.php:8,,,
,Provides a bank account element for company.,,,src/Plugin/WebformElement/BankAccountComposite.php:8,,,
,Helfi,,,src/Plugin/WebformElement/BankAccountComposite.php:8 src/Plugin/WebformElement/CommunityAddressComposite.php:8 src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Community address composite,,,src/Plugin/WebformElement/CommunityAddressComposite.php:8,,,
,Provides a address element for company.,,,src/Plugin/WebformElement/CommunityAddressComposite.php:8 src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Community officials composite,,,src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Grants type,,,src/Plugin/WebformElement/CompensationsComposite.php:90,,,
,Grants Compensations,,,src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Element for compensations element,,,src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Grants,,,src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Development settings,,,src/Plugin/WebformHandler/GrantsHandler.php:241,,,
,"If checked, every handler method invoked will be displayed onscreen to all users.",,,src/Plugin/WebformHandler/GrantsHandler.php:246,,,
,You need to select company you're acting behalf of.,,,src/Plugin/WebformHandler/GrantsHandler.php:383;389,,,
,You must have atleast one official for @businessId,,,src/Plugin/WebformHandler/GrantsHandler.php:407,,,
,You must have atleast one address for @businessId,,,src/Plugin/WebformHandler/GrantsHandler.php:412,,,
,You must have atleast one bank account for @businessId,,,src/Plugin/WebformHandler/GrantsHandler.php:417,,,
,No prefill for admin,,,src/Plugin/WebformHandler/GrantsHandler.php:434,,,
,Data integrity mismatch. Please refresh form in a moment,,,src/Plugin/WebformHandler/GrantsHandler.php:504,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saved as DRAFT",,,src/Plugin/WebformHandler/GrantsHandler.php:970,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saving failed. Please contact support.",,,src/Plugin/WebformHandler/GrantsHandler.php:999;1093,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saved.",,,src/Plugin/WebformHandler/GrantsHandler.php:1072,,,
,Invoked @id: @class_name:@method_name @context1,,,src/Plugin/WebformHandler/GrantsHandler.php:1145,,,
,Grants webform handler,,,src/Plugin/WebformHandler/GrantsHandler.php:28,,,
,Delete application,,,templates/application-list-item.html.twig:12,,,
,Draft saved time,,,templates/application-list-item.html.twig:32,,,
,Submission date,,,templates/application-list-item.html.twig:37 templates/grants-handler-completion.html.twig:28,,,
,Application number,,,templates/application-list-item.html.twig:41 templates/grants-handler-completion.html.twig:32,,,
,Search for an application,,,templates/application-list.html.twig:8,,,
,Search for application,,,templates/application-list.html.twig:15,,,
,Show only applications being processed,,,templates/application-list.html.twig:22,,,
,Applications,,,templates/application-list.html.twig:26;46,,,
,Sort,,,templates/application-list.html.twig:28,,,
,Sort by,,,templates/application-list.html.twig:31,,,
,Submitted time,,,templates/application-list.html.twig:32,,,
,Status,,,templates/application-list.html.twig:33,,,
,Grant application sent successfully,,,templates/grants-handler-completion.html.twig:25,,,
,Debugging is enabled,,,templates/grants-handler-example-summary.html.twig:19,,,
,Messages,,,templates/webform-submission-messages.html.twig:24,,,
,Example: Webform Handler,,,config/install/webform.webform.grants_handler.yml:0,,,
,An example of a custom Webform handler.,,,config/install/webform.webform.grants_handler.yml:0,,,
