msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Oma Asiointi,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0 modules/custom/grants_oma_asiointi/src/Plugin/Block/OmaAsiointiBlock.php:16,,,
,Module for person/company own details &amp; things related to them.,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0,,,
,Helfi,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0,,,
,Access Oma Asiointi,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Access to oma asiointi services.,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Administer grants_oma_asiointi configuration,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Optional description.,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Yhteisön hakemukset,,,modules/custom/grants_oma_asiointi/grants_oma_asiointi.routing.yml:0,,,
,No documents found,,,modules/custom/grants_oma_asiointi/src/Controller/ApplicationsListController.php:205,,,
,My applications,,,modules/custom/grants_oma_asiointi/src/Controller/ApplicationsListController.php:218,,,
,Applications in progress,,,modules/custom/grants_oma_asiointi/src/Controller/GrantsOmaAsiointiController.php:157,,,
,Sent applications,,,modules/custom/grants_oma_asiointi/src/Controller/GrantsOmaAsiointiController.php:165,,,
,Grants Oma Asiointi,,,modules/custom/grants_oma_asiointi/src/Plugin/Block/OmaAsiointiBlock.php:16,,,
,New message,,,modules/custom/grants_oma_asiointi/templates/grants-oma-asiointi-front.html.twig:9,,,
