msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Grants Profile,,,modules/custom/grants_profile/grants_profile.info.yml:0 modules/custom/grants_profile/src/Plugin/Block/GrantsProfileMenuItemBlock.php:7 modules/custom/grants_profile/src/Plugin/DataType/GrantsProfileData.php:7,,,
,Module to handle all interactions with users data in ATV,,,modules/custom/grants_profile/grants_profile.info.yml:0,,,
,Hel.fi,,,modules/custom/grants_profile/grants_profile.info.yml:0,,,
,Administer grants_profile configuration,,,modules/custom/grants_profile/grants_profile.permissions.yml:0,,,
,Optional description.,,,modules/custom/grants_profile/grants_profile.permissions.yml:0;0;0,,,
,View own grants profile,,,modules/custom/grants_profile/grants_profile.permissions.yml:0,,,
,Administer own grants profile,,,modules/custom/grants_profile/grants_profile.permissions.yml:0,,,
,Show Grants profile,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Edit Application profile.,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Saved addresses,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Delete addresses,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Edit address,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Address,,,modules/custom/grants_profile/grants_profile.routing.yml:0 modules/custom/grants_profile/src/Plugin/DataType/AddressData.php:7,,,
,Edit official,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Delete official,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Bank account,,,modules/custom/grants_profile/grants_profile.routing.yml:0 modules/custom/grants_profile/src/Form/GrantsProfileForm.php:259 modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:131,,,
,Edit bank account,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Delete bank account,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Delete confirmation,,,modules/custom/grants_profile/grants_profile.routing.yml:0,,,
,Confirmation file saved for account %account. You can now use this account as receipient of grants.,,,modules/custom/grants_profile/src/GrantsProfileService.php:239,,,
,Confirmation file saving failed for %account. This account cannot be used with applications without valid confirmation file.,,,modules/custom/grants_profile/src/GrantsProfileService.php:246;277,,,
,File deleted: %id.,,,modules/custom/grants_profile/src/GrantsProfileService.php:255,,,
,"Grants profile POSTed, transactionID: %transId",,,modules/custom/grants_profile/src/GrantsProfileService.php:222,,,
,"Grants profile POSTed, transactionID: %transactionId",,,modules/custom/grants_profile/src/GrantsProfileService.php:291,,,
,File deleting failed: %id.,,,modules/custom/grants_profile/src/GrantsProfileService.php:262,,,
,No file found: %id.,,,modules/custom/grants_profile/src/GrantsProfileService.php:270,,,
,It works!,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:32;123;168,,,
,"No profile data available, select company",,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:51,,,
,"Edit profile <i class=""hds-icon icon hds-icon--arrow-right hds-icon--size-s vertical-align-small-or-medium-icon"" aria-hidden=""true""></i>",,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:99,,,
,Bank account confirmation successfully deleted,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:204,,,
