msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,simple,,,,,,enkel,
,Home,,,,,,Hem,
,Main navigation,,,,,,Huvudmeny,
,Site section links,,,,,,Länkar för sektion i webbplats,
,Fallback date format,,,,,,Datumformat i reserv,
,HTML Date,,,,,,HTML datum,
,HTML Datetime,,,,,,HTML tidsdatum,
,HTML Month,,,,,,HTML månad,
,HTML Time,,,,,,HTML tid,
,HTML Week,,,,,,HTML vecka,
,HTML Year,,,,,,HTML år,
,HTML Yearless date,,,,,,HTML datum utan år,
,Default long date,,,,,,Förvalt långt datum,
PHP date format,"l, F j, Y - H:i",,,,,,j.n.Y - H:i,
,Default medium date,,,,,,Förvalt mellanlångt datum,
PHP date format,"D, m/d/Y - H:i",,,,,,j. F Y,
,Default short date,,,,,,Förvalt kort datum,
PHP date format,m/d/Y - H:i,,,,,,j.n.Y,
,Anonymous user,,,,,,Anonym användare,
,Authenticated user,,,,,,Inloggad användare,
,<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>,,,,,,<h2>Tack för att du accepterade cookies</h2><p>Nu kan du dölja det här meddelandet eller ta reda på mer om cookies.</p>,
,Accept,,,,,,Accepterar,
,More info,,,,,,Mer information,
,Hide,,,,,,Dölj,
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>",,,,,,"<h2>Vi använder cookies på denna webbplats för att förbättra din användarupplevelse</h2><p>Genom att klicka på knappen ""acceptera"" godkänner du att vi gör det.</p>",
,"<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>",,,,,,"<h2>Vi använder cookies på denna webbplats för att förbättra din användarupplevelse.</h2><p>Genom att trycka på knappen ""acceptera"" godkänner du att vi gör det.</p>",
,<front>,,,,,,/node/1,
,"No, thanks",,,,,,"Nej, tack",
,<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>,,,,,,<h2>Vi använder cookies på denna webbplats för att förbättra din användarupplevelse.</h2><p>Du har gett ditt samtycke för oss att ställa in cookies.</p>,
,Withdraw consent,,,,,,Återkalla samtycke,
,Privacy settings,,,,,,Sekretessinställningar,
,Save preferences,,,,,,Spara val,
,Accept all cookies,,,,,,Acceptera alla cookies,
,Delete redirect,,,,,,,
,Swedish,,,,,,Svenska,
,Russian,,,,,,Ryska,
,Finnish,,,,,,Finska,
,Upper content region,,,,,,Content,
,Content region,,,,,,Content,
,Focal point,,,,,,,
,Crop type used by Focal point module.,,,,,,,
,Media library,,,,,,Media library,
,Redirect,,,,,,Omdirigera,
,List of redirects,,,,,,Lista över omdirigeringar,
,Master,,,,,,Huvud,
,Filter,,,,,,Filtrera,
,Reset,,,,,,Återställ,
,Sort by,,,,,,Sortera efter,
,Asc,,,,,,Stigande,
,Desc,,,,,,Fallande,
,‹ previous,,,,,,‹ föregående,
,next ›,,,,,,nästa ›,
,« first,,,,,,« första,
,last »,,,,,,sista »,
,Items per page,,,,,,Inlägg per sida,
,- All -,,,,,,- Alla -,
,Offset,,,,,,Kompensera,
,With selection,,,,,,Med urval,
,From,,,,,,Från,
,", ",,,,,,", ",
,Created,,,,,,Skapad,
,To,,,,,,Till,
,Status code,,,,,,Statuskod,
,300 Multiple Choices,,,,,,300 Useita valintoja,
,301 Moved Permanently,,,,,,301 Pysyvästi siirretty,
,302 Found,,,,,,302 Löydetty,
,303 See Other,,,,,,303 Kts. toinen,
,304 Not Modified,,,,,,304 Muuttamaton,
,305 Use Proxy,,,,,,305 Käytä proxyä,
,307 Temporary Redirect,,,,,,307 Tilapäinen uudelleenohjaus,
,Original language,,,,,,Ursprungsspråk,
